Date: 2025-04-24 06:58:47s, Time_Cost: 1004s, Epoch: [38/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 07:15:34s, Time_Cost: 1007s, Epoch: [39/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 07:32:16s, Time_Cost: 1002s, Epoch: [40/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 07:48:59s, Time_Cost: 1003s, Epoch: [41/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 08:05:45s, Time_Cost: 1006s, Epoch: [42/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 08:22:30s, Time_Cost: 1005s, Epoch: [43/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 08:39:12s, Time_Cost: 1002s, Epoch: [44/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 08:56:00s, Time_Cost: 1008s, Epoch: [45/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 09:12:49s, Time_Cost: 1009s, Epoch: [46/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 09:29:33s, Time_Cost: 1004s, Epoch: [47/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 09:46:20s, Time_Cost: 1007s, Epoch: [48/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 10:03:05s, Time_Cost: 1006s, Epoch: [49/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 10:19:49s, Time_Cost: 1003s, Epoch: [50/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 10:36:28s, Time_Cost: 999s, Epoch: [51/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 10:53:10s, Time_Cost: 1002s, Epoch: [52/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 11:09:48s, Time_Cost: 998s, Epoch: [53/250], Train_PSNR: -0.43, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 11:26:31s, Time_Cost: 1003s, Epoch: [54/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 11:43:16s, Time_Cost: 1005s, Epoch: [55/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 12:00:04s, Time_Cost: 1008s, Epoch: [56/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 12:16:49s, Time_Cost: 1005s, Epoch: [57/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 12:33:32s, Time_Cost: 1003s, Epoch: [58/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 12:50:17s, Time_Cost: 1006s, Epoch: [59/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 13:07:00s, Time_Cost: 1003s, Epoch: [60/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 13:23:42s, Time_Cost: 1002s, Epoch: [61/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 13:40:24s, Time_Cost: 1002s, Epoch: [62/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 13:57:10s, Time_Cost: 1006s, Epoch: [63/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 14:13:48s, Time_Cost: 998s, Epoch: [64/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
